# theta_deg x y tau_wall omega_wall utheta_near
1.5000000000e+02 -2.1650635095e-01 1.2500000000e-01 3.3045019849e+00 -1.8116787198e+05 -1.7979991735e+00
1.5300000000e+02 -2.2275163105e-01 1.1349762493e-01 3.0048659439e+00 -1.6474045745e+05 -1.6347574295e+00
1.5600000000e+02 -2.2838636441e-01 1.0168416077e-01 2.6956881609e+00 -1.4778992110e+05 -1.4663856212e+00
1.5900000000e+02 -2.3339510662e-01 8.9591987386e-02 2.3779239735e+00 -1.3036863890e+05 -1.2933989458e+00
1.6200000000e+02 -2.3776412907e-01 7.7254248594e-02 2.0525651471e+00 -1.1253098394e+05 -1.1163316478e+00
1.6500000000e+02 -2.4148145657e-01 6.4704761276e-02 1.7206358495e+00 -9.4333105786e+04 -9.3573490499e-01
1.6800000000e+02 -2.4453690018e-01 5.1977922704e-02 1.3831884158e+00 -7.5832698234e+04 -7.5217460831e-01
1.7100000000e+02 -2.4692208515e-01 3.9108616260e-02 1.0412989295e+00 -5.7088757098e+04 -5.6622904949e-01
1.7400000000e+02 -2.4863047384e-01 2.6132115817e-02 6.9606264918e-01 -3.8161329451e+04 -3.7848653000e-01
1.7700000000e+02 -2.4965738369e-01 1.3083989061e-02 3.4858930871e-01 -1.9111255960e+04 -1.8954290632e-01
1.8000000000e+02 -2.5000000000e-01 3.0616169979e-17 -1.6875949757e-06 9.2521654369e-02 9.1765185254e-07
1.8300000000e+02 -2.4965738369e-01 -1.3083989061e-02 -3.4859267970e-01 1.9111440773e+04 1.8954473934e-01
1.8600000000e+02 -2.4863047384e-01 -2.6132115817e-02 -6.9606600764e-01 3.8161513577e+04 3.7848835620e-01
1.8900000000e+02 -2.4692208515e-01 -3.9108616260e-02 -1.0413022671e+00 5.7088940081e+04 5.6623086436e-01
1.9200000000e+02 -2.4453690018e-01 -5.1977922704e-02 -1.3831917243e+00 7.5832879621e+04 7.5217640735e-01
1.9500000000e+02 -2.4148145657e-01 -6.4704761276e-02 -1.7206391207e+00 9.4333285125e+04 9.3573668371e-01
1.9800000000e+02 -2.3776412907e-01 -7.7254248594e-02 -2.0525683727e+00 1.1253116078e+05 1.1163334018e+00
2.0100000000e+02 -2.3339510662e-01 -8.9591987386e-02 -2.3779271455e+00 1.3036881280e+05 1.2934006706e+00
2.0400000000e+02 -2.2838636441e-01 -1.0168416077e-01 -2.6956912713e+00 1.4779009163e+05 1.4663873125e+00
2.0700000000e+02 -2.2275163105e-01 -1.1349762493e-01 -3.0048689847e+00 1.6474062416e+05 1.6347590831e+00
2.1000000000e+02 -2.1650635095e-01 -1.2500000000e-01 -3.3045049484e+00 1.8116803445e+05 1.7980007849e+00
2.1300000000e+02 -2.0966764199e-01 -1.3615975875e-01 -3.5936840439e+00 1.9702215153e+05 1.9556182631e+00
2.1600000000e+02 -2.0225424859e-01 -1.4694631307e-01 -3.8715349048e+00 2.1225520311e+05 2.1071402693e+00
2.1900000000e+02 -1.9428649036e-01 -1.5733009776e-01 -4.1372331720e+00 2.2682199408e+05 2.2521201859e+00
2.2200000000e+02 -1.8578620637e-01 -1.6728265159e-01 -4.3900044516e+00 2.4068006862e+05 2.3901375990e+00
2.2500000000e+02 -1.7677669530e-01 -1.7677669530e-01 -4.6291269608e+00 2.5378985531e+05 2.5207997127e+00
2.2800000000e+02 -1.6728265159e-01 -1.8578620637e-01 -4.8539338470e+00 2.6611479424e+05 2.6437425976e+00
2.3100000000e+02 -1.5733009776e-01 -1.9428649036e-01 -5.0638151711e+00 2.7762144578e+05 2.7586322688e+00
2.3400000000e+02 -1.4694631307e-01 -2.0225424859e-01 -5.2582195458e+00 2.8827958036e+05 2.8651655874e+00
2.3700000000e+02 -1.3615975875e-01 -2.0966764199e-01 -5.4366554252e+00 2.9806224919e+05 2.9630709845e+00
2.4000000000e+02 -1.2500000000e-01 -2.1650635095e-01 -5.5986920435e+00 3.0694583572e+05 3.0521090061e+00
2.4300000000e+02 -1.1349762493e-01 -2.2275163105e-01 -5.7439600025e+00 3.1491008785e+05 3.1320726780e+00
2.4600000000e+02 -1.0168416077e-01 -2.2838636441e-01 -5.8721515142e+00 3.2193813126e+05 3.2027876934e+00
2.4900000000e+02 -8.9591987386e-02 -2.3339510662e-01 -5.9830203027e+00 3.2801646396e+05 3.2641124265e+00
2.5200000000e+02 -7.7254248594e-02 -2.3776412907e-01 -6.0763811756e+00 3.3313493287e+05 3.3159377748e+00
2.5500000000e+02 -6.4704761276e-02 -2.4148145657e-01 -6.1521092737e+00 3.3728669264e+05 3.3581868355e+00
2.5800000000e+02 -5.1977922704e-02 -2.4453690018e-01 -6.2101390092e+00 3.4046814743e+05 3.3908144213e+00
2.6100000000e+02 -3.9108616260e-02 -2.4692208515e-01 -6.2504626783e+00 3.4267887491e+05 3.4138064073e+00
2.6400000000e+02 -2.6132115817e-02 -2.4863047384e-01 -6.2731286031e+00 3.4392152429e+05 3.4271788361e+00
2.6700000000e+02 -1.3083989061e-02 -2.4965738369e-01 -6.2782341899e+00 3.4420143585e+05 3.4309748138e+00
2.7000000000e+02 -4.5924254968e-17 -2.5000000000e-01 -6.2655841038e+00 3.4350790043e+05 3.4250949140e+00
2.7300000000e+02 1.3083989061e-02 -2.4965738369e-01 -6.2346743864e+00 3.4181328873e+05 3.4092676899e+00
2.7600000000e+02 2.6132115817e-02 -2.4863047384e-01 -6.1867607053e+00 3.3918644217e+05 3.3841348590e+00
2.7900000000e+02 3.9108616260e-02 -2.4692208515e-01 -6.1222370013e+00 3.3564895840e+05 3.3498988229e+00
2.8200000000e+02 5.1977922704e-02 -2.4453690018e-01 -6.0414677970e+00 3.3122082221e+05 3.3067473811e+00
2.8500000000e+02 6.4704761276e-02 -2.4148145657e-01 -5.9448514419e+00 3.2592387291e+05 3.2548873074e+00
2.8800000000e+02 7.7254248594e-02 -2.3776412907e-01 -5.8328224145e+00 3.1978193062e+05 3.1945456347e+00
2.9100000000e+02 8.9591987386e-02 -2.3339510662e-01 -5.7058488061e+00 3.1282065823e+05 3.1259683857e+00
2.9400000000e+02 1.0168416077e-01 -2.2838636441e-01 -5.5644295226e+00 3.0506740804e+05 3.0494191493e+00
2.9700000000e+02 1.1349762493e-01 -2.2275163105e-01 -5.4090915687e+00 2.9655107285e+05 2.9651776945e+00
3.0000000000e+02 1.2500000000e-01 -2.1650635095e-01 -5.2403874927e+00 2.8730194587e+05 2.8735386637e+00
3.0300000000e+02 1.3615975875e-01 -2.0966764199e-01 -5.0588930668e+00 2.7735159358e+05 2.7748103832e+00
3.0600000000e+02 1.4694631307e-01 -2.0225424859e-01 -4.8652052937e+00 2.6673274637e+05 2.6693138432e+00
3.0900000000e+02 1.5733009776e-01 -1.9428649036e-01 -4.6599408651e+00 2.5547921410e+05 2.5573819122e+00
3.1200000000e+02 1.6728265159e-01 -1.8578620637e-01 -4.4437352466e+00 2.4362583589e+05 2.4393588829e+00
3.1500000000e+02 1.7677669530e-01 -1.7677669530e-01 -4.2172426443e+00 2.3120847830e+05 2.3156004911e+00
3.1800000000e+02 1.8578620637e-01 -1.6728265159e-01 -3.9811372355e+00 2.1826410282e+05 2.1864746168e+00
3.2100000000e+02 1.9428649036e-01 -1.5733009776e-01 -3.7361162386e+00 2.0483093414e+05 2.0523629909e+00
3.2400000000e+02 2.0225424859e-01 -1.4694631307e-01 -3.4829056914e+00 1.9094877694e+05 1.9136643952e+00
3.2700000000e+02 2.0966764199e-01 -1.3615975875e-01 -3.2222702056e+00 1.7665955075e+05 1.7708000789e+00
3.3000000000e+02 2.1650635095e-01 -1.2500000000e-01 -2.9550283090e+00 1.6200813098e+05 1.6242223298e+00
3.3300000000e+02 2.2275163105e-01 -1.1349762493e-01 -2.6820742013e+00 1.4704354174e+05 1.4744267660e+00
3.3600000000e+02 2.2838636441e-01 -1.0168416077e-01 -2.4044006047e+00 1.3182020859e+05 1.3219655883e+00
3.3900000000e+02 2.3339510662e-01 -8.9591987386e-02 -2.1230946643e+00 1.1639773379e+05 1.1674464555e+00
3.4200000000e+02 2.3776412907e-01 -7.7254248594e-02 -1.8392233735e+00 1.0083461478e+05 1.0114705326e+00
3.4500000000e+02 2.4148145657e-01 -6.4704761276e-02 -1.5534446150e+00 8.5166919684e+04 8.5441762091e-01
3.4800000000e+02 2.4453690018e-01 -5.1977922704e-02 -1.2651719083e+00 6.9362494975e+04 6.9598041893e-01
3.5100000000e+02 2.4692208515e-01 -3.9108616260e-02 -9.7139828857e-01 5.3256485119e+04 5.3450341248e-01
3.5400000000e+02 2.4863047384e-01 -2.6132115817e-02 -6.6603934612e-01 3.6515315029e+04 3.6660338344e-01
3.5700000000e+02 2.4965738369e-01 -1.3083989061e-02 -3.4201636887e-01 1.8750897416e+04 1.8831832535e-01
