# x y speed omega solid
-2.6762075134e-01 -1.2000000000e+00 2.0898878476e+01 -2.3009937580e-90 0
-2.5903398927e-01 -1.2000000000e+00 2.0906480565e+01 -5.4629997056e-90 0
-2.5044722719e-01 -1.2000000000e+00 2.0913456452e+01 -6.7767523295e-89 0
-2.4186046512e-01 -1.2000000000e+00 2.0919881275e+01 -2.3345727990e-88 0
-2.3327370304e-01 -1.2000000000e+00 2.0926263857e+01 -4.6548247648e-88 0
-2.2468694097e-01 -1.2000000000e+00 2.0932602545e+01 -7.6061068375e-88 0
-2.1610017889e-01 -1.2000000000e+00 2.0938895669e+01 -1.1155610530e-87 0
-2.0751341682e-01 -1.2000000000e+00 2.0945141537e+01 -1.5270056826e-87 0
-1.9892665474e-01 -1.2000000000e+00 2.0951338442e+01 -1.9915710481e-87 0
-1.9033989267e-01 -1.2000000000e+00 2.0957484658e+01 -2.5058394964e-87 0
-1.8175313059e-01 -1.2000000000e+00 2.0962416473e+01 3.1815707678e-85 0
-1.7316636852e-01 -1.2000000000e+00 2.0967247748e+01 6.9669171246e-85 0
-1.6457960644e-01 -1.2000000000e+00 2.0972016026e+01 1.1198966336e-84 0
-1.5599284436e-01 -1.2000000000e+00 2.0976720007e+01 1.5844927081e-84 0
-1.4740608229e-01 -1.2000000000e+00 2.0981358384e+01 2.0871666152e-84 0
-1.3881932021e-01 -1.2000000000e+00 2.0985929839e+01 2.6245725279e-84 0
-1.3023255814e-01 -1.2000000000e+00 2.0990433047e+01 3.1933338439e-84 0
-1.2164579606e-01 -1.2000000000e+00 2.0994206541e+01 -1.8143612881e-82 0
-1.1305903399e-01 -1.2000000000e+00 2.0997299809e+01 -5.5419160352e-82 0
-1.0447227191e-01 -1.2000000000e+00 2.1000316034e+01 -9.4883359640e-82 0
-9.5885509839e-02 -1.2000000000e+00 2.1003254387e+01 -1.3627984306e-81 0
-8.7298747764e-02 -1.2000000000e+00 2.1006114040e+01 -1.7935056142e-81 0
-7.8711985689e-02 -1.2000000000e+00 2.1008894162e+01 -2.2383592907e-81 0
-7.0125223614e-02 -1.2000000000e+00 2.1011593918e+01 -2.6947497147e-81 0
-6.1538461538e-02 -1.2000000000e+00 2.1014007082e+01 3.6957139864e-80 0
-5.2951699463e-02 -1.2000000000e+00 2.1015236530e+01 2.9564612698e-79 0
-4.4364937388e-02 -1.2000000000e+00 2.1016380879e+01 5.6037073150e-79 0
-3.5778175313e-02 -1.2000000000e+00 2.1017439842e+01 8.2953647888e-79 0
-2.7191413238e-02 -1.2000000000e+00 2.1018413134e+01 1.1015445524e-78 0
-1.8604651163e-02 -1.2000000000e+00 2.1019300471e+01 1.3747927395e-78 0
-1.0017889088e-02 -1.2000000000e+00 2.1020101571e+01 1.6476763837e-78 0
-1.4311270125e-03 -1.2000000000e+00 2.1020816153e+01 1.9185893403e-78 0
7.1556350626e-03 -1.2000000000e+00 2.1020344599e+01 -9.9925310055e-77 0
1.5742397138e-02 -1.2000000000e+00 2.1019566559e+01 -2.2159949282e-76 0
2.4329159213e-02 -1.2000000000e+00 2.1018702192e+01 -3.4193723656e-76 0
3.2915921288e-02 -1.2000000000e+00 2.1017751783e+01 -4.6020843866e-76 0
4.1502683363e-02 -1.2000000000e+00 2.1016715617e+01 -5.7568423153e-76 0
5.0089445438e-02 -1.2000000000e+00 2.1015593984e+01 -6.8763741598e-76 0
5.8676207513e-02 -1.2000000000e+00 2.1014387170e+01 -7.9534289196e-76 0
