
# Surface 0 of 1 surfaces

# Curve title: ""cylinder_wake_map.dat" using 1:2:(($3 > speed_cap) ? speed_cap : $3)"

# Contour 0, label:        1
 4 -1.06854  1 
 3.99141 -1.06924  1 
 3.98283 -1.06994  1 
 3.97424 -1.07067  1 
 3.97085 -1.07097  1 
 3.96565 -1.07146  1 
 3.95707 -1.07231  1 
 3.94848 -1.07318  1 
 3.93989 -1.0741  1 
 3.93131 -1.07505  1 
 3.92272 -1.07605  1 
 3.91413 -1.0771  1 
 3.90555 -1.0782  1 
 3.89696 -1.07936  1 
 3.89547 -1.07957  1 
 3.88837 -1.08066  1 
 3.87979 -1.08204  1 
 3.8712 -1.0835  1 
 3.86261 -1.08504  1 
 3.85403 -1.08666  1 
 3.84636 -1.08817  1 
 3.84544 -1.08837  1 
 3.83685 -1.0903  1 
 3.82826 -1.09232  1 
 3.81968 -1.09444  1 
 3.81109 -1.09666  1 
 3.81065 -1.09677  1 
 3.8025 -1.09914  1 
 3.79392 -1.10174  1 
 3.78533 -1.10446  1 
 3.78251 -1.10538  1 
 3.77674 -1.10742  1 
 3.76816 -1.11055  1 
 3.75957 -1.1138  1 
 3.75912 -1.11398  1 
 3.75098 -1.11738  1 
 3.7424 -1.12108  1 
 3.739 -1.12258  1 
 3.73381 -1.12504  1 
 3.72522 -1.12921  1 
 3.72122 -1.13118  1 
 3.71664 -1.13361  1 
 3.70805 -1.13823  1 
 3.70519 -1.13978  1 
 3.69946 -1.14312  1 
 3.69088 -1.14817  1 
 3.69052 -1.14839  1 
 3.68229 -1.15357  1 
 3.67691 -1.15699  1 
 3.6737 -1.15915  1 
 3.66512 -1.16494  1 
 3.66415 -1.16559  1 
 3.65653 -1.17102  1 
 3.65208 -1.17419  1 
 3.64794 -1.17729  1 
 3.64056 -1.1828  1 
 3.63936 -1.18373  1 
 3.63077 -1.19041  1 
 3.62949 -1.1914  1 
 3.62218 -1.19728  1 
 3.61878 -1.2  1 


# Contour 1, label:     0.95
 2.96959 -0.446264  0.95 
 2.97818 -0.447206  0.95 
 2.98676 -0.448213  0.95 
 2.99535 -0.449285  0.95 
 3.00394 -0.450419  0.95 
 3.01251 -0.451613  0.95 
 3.02111 -0.45293  0.95 
 3.0297 -0.454303  0.95 
 3.03828 -0.455733  0.95 
 3.04687 -0.457218  0.95 
 3.05546 -0.458754  0.95 
 3.06337 -0.460215  0.95 
 3.06404 -0.460344  0.95 
 3.07263 -0.46205  0.95 
 3.08122 -0.463798  0.95 
 3.0898 -0.465585  0.95 
 3.09839 -0.467407  0.95 
 3.10491 -0.468817  0.95 
 3.10698 -0.46928  0.95 
 3.11556 -0.471244  0.95 
 3.12415 -0.473228  0.95 
 3.13274 -0.475228  0.95 
 3.14132 -0.477237  0.95 
 3.1421 -0.477419  0.95 
 3.14991 -0.479334  0.95 
 3.1585 -0.481436  0.95 
 3.16708 -0.483529  0.95 
 3.17567 -0.485606  0.95 
 3.17739 -0.486022  0.95 
 3.18426 -0.487739  0.95 
 3.19284 -0.489861  0.95 
 3.20143 -0.491947  0.95 
 3.21002 -0.493993  0.95 
 3.21271 -0.494624  0.95 
 3.2186 -0.496057  0.95 
 3.22719 -0.498096  0.95 
 3.23578 -0.500076  0.95 
