# x y r theta psi omega ur utheta ux uy speed
5.7097366555e-03 0.0000000000e+00 5.7097366555e-03 0.0000000000e+00 -5.7662840417e-06 -1.8196998728e+00 -4.8843951818e+00 8.2810204927e-03 -4.8843951818e+00 8.2810204927e-03 4.8844022016e+00
5.7638560055e-03 0.0000000000e+00 5.7638560055e-03 0.0000000000e+00 -6.2138072519e-06 -2.0054304857e+00 -5.2135095137e+00 8.2573155890e-03 -5.2135095137e+00 8.2573155890e-03 5.2135160528e+00
5.8213395759e-03 0.0000000000e+00 5.8213395759e-03 0.0000000000e+00 -6.6877421935e-06 -2.2003759469e+00 -5.5558619221e+00 8.2319616779e-03 -5.5558619221e+00 8.2319616779e-03 5.5558680207e+00
5.8823964966e-03 0.0000000000e+00 5.8823964966e-03 0.0000000000e+00 -7.1895341471e-06 -2.4046712803e+00 -5.9117453575e+00 8.2046797357e-03 -5.9117453575e+00 8.2046797357e-03 5.9117510510e+00
5.9472488980e-03 0.0000000000e+00 5.9472488980e-03 0.0000000000e+00 -7.7206802450e-06 -2.6184873832e+00 -6.2814467131e+00 8.1751635111e-03 -6.2814467131e+00 8.1751635111e-03 6.2814520330e+00
6.0161327182e-03 0.0000000000e+00 6.0161327182e-03 0.0000000000e+00 -8.2827256515e-06 -2.8420373611e+00 -6.6652466732e+00 8.1430790078e-03 -6.6652466732e+00 8.1430790078e-03 6.6652516475e+00
6.0892985625e-03 0.0000000000e+00 6.0892985625e-03 0.0000000000e+00 -8.8772584391e-06 -3.0755770300e+00 -7.0634196409e+00 8.1080644137e-03 -7.0634196409e+00 8.1080644137e-03 7.0634242945e+00
6.1670126141e-03 0.0000000000e+00 6.1670126141e-03 0.0000000000e+00 -9.5059029941e-06 -3.3193998035e+00 -7.4762337480e+00 8.0697309154e-03 -7.4762337480e+00 8.0697309154e-03 7.4762381032e+00
6.2495576032e-03 0.0000000000e+00 6.2495576032e-03 0.0000000000e+00 -1.0170311814e-05 -3.5738267793e+00 -7.9039509492e+00 8.0276648859e-03 -7.9039509492e+00 8.0276648859e-03 7.9039550259e+00
6.3372338354e-03 0.0000000000e+00 6.3372338354e-03 0.0000000000e+00 -1.0872155620e-05 -3.8391933886e+00 -8.3468272055e+00 7.9814319118e-03 -8.3468272055e+00 7.9814319118e-03 8.3468310215e+00
6.4303602839e-03 0.0000000000e+00 6.4303602839e-03 0.0000000000e+00 -1.1613111781e-05 -4.1158344214e+00 -8.8051127639e+00 7.9305830371e-03 -8.8051127639e+00 7.9305830371e-03 8.8051163353e+00
6.5292757507e-03 0.0000000000e+00 6.5292757507e-03 0.0000000000e+00 -1.2394851149e-05 -4.4040695376e+00 -9.2790525419e+00 7.8746634098e-03 -9.2790525419e+00 7.8746634098e-03 9.2790558833e+00
6.6343400982e-03 0.0000000000e+00 6.6343400982e-03 0.0000000000e+00 -1.3219023515e-05 -4.7041914561e+00 -9.7688866252e+00 7.8132232231e-03 -9.7688866252e+00 7.8132232231e-03 9.7688897497e+00
6.7459355593e-03 0.0000000000e+00 6.7459355593e-03 0.0000000000e+00 -1.4087241984e-05 -5.0164588058e+00 -1.0274850876e+01 7.7458304469e-03 -1.0274850876e+01 7.7458304469e-03 1.0274853795e+01
6.8644681275e-03 0.0000000000e+00 6.8644681275e-03 0.0000000000e+00 -1.5001066659e-05 -5.3410950713e+00 -1.0797177631e+01 7.6720843768e-03 -1.0797177631e+01 7.6720843768e-03 1.0797180357e+01
6.9903690342e-03 0.0000000000e+00 6.9903690342e-03 0.0000000000e+00 -1.5961987985e-05 -5.6782941167e+00 -1.1336096444e+01 7.5916285697e-03 -1.1336096444e+01 7.5916285697e-03 1.1336098986e+01
7.1240963172e-03 0.0000000000e+00 7.1240963172e-03 0.0000000000e+00 -1.6971410030e-05 -6.0282314306e+00 -1.1891834730e+01 7.5041613769e-03 -1.1891834730e+01 7.5041613769e-03 1.1891837098e+01
7.2661364874e-03 0.0000000000e+00 7.2661364874e-03 0.0000000000e+00 -1.8030633733e-05 -6.3910785919e+00 -1.2464618148e+01 7.4094421727e-03 -1.2464618148e+01 7.4094421727e-03 1.2464620350e+01
7.4170062988e-03 0.0000000000e+00 7.4170062988e-03 0.0000000000e+00 -1.9140839795e-05 -6.7670166616e+00 -1.3054670332e+01 7.3072916347e-03 -1.3054670332e+01 7.3072916347e-03 1.3054672377e+01
7.5772546283e-03 0.0000000000e+00 7.5772546283e-03 0.0000000000e+00 -2.0303070433e-05 -7.1562426155e+00 -1.3662211474e+01 7.1975851740e-03 -1.3662211474e+01 7.1975851740e-03 1.3662213370e+01
7.7474644724e-03 0.0000000000e+00 7.7474644724e-03 0.0000000000e+00 -2.1518208772e-05 -7.5589620628e+00 -1.4287454903e+01 7.0802398310e-03 -1.4287454903e+01 7.0802398310e-03 1.4287456658e+01
7.9282550687e-03 0.0000000000e+00 7.9282550687e-03 0.0000000000e+00 -2.2786954314e-05 -7.9753618962e+00 -1.4930600465e+01 6.9551965123e-03 -1.4930600465e+01 6.9551965123e-03 1.4930602085e+01
8.1202841484e-03 0.0000000000e+00 8.1202841484e-03 0.0000000000e+00 -2.4109792870e-05 -8.4055588130e+00 -1.5591822919e+01 6.8224009435e-03 -1.5591822919e+01 6.8224009435e-03 1.5591824412e+01
8.3242503292e-03 0.0000000000e+00 8.3242503292e-03 0.0000000000e+00 -2.5486959715e-05 -8.8495241847e+00 -1.6271252828e+01 6.6817875306e-03 -1.6271252828e+01 6.6817875306e-03 1.6271254200e+01
8.5408956568e-03 0.0000000000e+00 8.5408956568e-03 0.0000000000e+00 -2.6918395436e-05 -9.3069923293e+00 -1.6968946364e+01 6.5332696113e-03 -1.6968946364e+01 6.5332696113e-03 1.6968947622e+01
8.7710083050e-03 0.0000000000e+00 8.7710083050e-03 0.0000000000e+00 -2.8403694699e-05 -9.7773668009e+00 -1.7684839089e+01 6.3767365171e-03 -1.7684839089e+01 6.3767365171e-03 1.7684840239e+01
9.0154254426e-03 0.0000000000e+00 9.0154254426e-03 0.0000000000e+00 -2.9942048201e-05 -1.0259645701e+01 -1.8418676912e+01 6.2120520288e-03 -1.8418676912e+01 6.2120520288e-03 1.8418677960e+01
