
# Surface 0 of 1 surfaces

# Curve title: ""cylinder_wake_map.dat" using 1:2:(($4 > omega_cap) ? omega_cap : (($4 < -omega_cap) ? -omega_cap : $4))"

# Contour 0, label:      180
 0.0500894 -0.245161  180 

-0.147406 -0.202151  180 

-0.233274 -0.0903226  180 

-0.24186 -0.0645161  180 


# Contour 1, label:      150
 0.0500894 -0.243728  150 
 0.0486583 -0.245161  150 
 0.0500894 -0.246595  150 
 0.0515206 -0.245161  150 
 0.0500894 -0.243728  150 

-0.147406 -0.200717  150 
-0.148837 -0.202151  150 
-0.147406 -0.203584  150 
-0.145975 -0.202151  150 
-0.147406 -0.200717  150 

-0.233274 -0.0888889  150 
-0.234705 -0.0903226  150 
-0.233274 -0.0917563  150 
-0.231843 -0.0903226  150 
-0.233274 -0.0888889  150 

-0.24186 -0.0630824  150 
-0.243292 -0.0645161  150 
-0.24186 -0.0659498  150 
-0.240429 -0.0645161  150 
-0.24186 -0.0630824  150 


# Contour 2, label:      120
 0.0500894 -0.242294  120 
 0.0472272 -0.245161  120 
 0.0500894 -0.248029  120 
 0.0529517 -0.245161  120 
 0.0500894 -0.242294  120 

-0.147406 -0.199283  120 
-0.150268 -0.202151  120 
-0.147406 -0.205018  120 
-0.144544 -0.202151  120 
-0.147406 -0.199283  120 

-0.233274 -0.0874552  120 
-0.236136 -0.0903226  120 
-0.233274 -0.09319  120 
-0.230411 -0.0903226  120 
-0.233274 -0.0874552  120 

-0.24186 -0.0616487  120 
-0.244723 -0.0645161  120 
-0.24186 -0.0673835  120 
-0.238998 -0.0645161  120 
-0.24186 -0.0616487  120 


# Contour 3, label:       90
 0.0500894 -0.24086  90 
 0.0457961 -0.245161  90 
 0.0500894 -0.249462  90 
 0.0543828 -0.245161  90 
 0.0500894 -0.24086  90 

-0.147406 -0.197849  90 
-0.151699 -0.202151  90 
-0.147406 -0.206452  90 
-0.143113 -0.202151  90 
-0.147406 -0.197849  90 

 0.221825 -0.115011  90 
 0.220709 -0.116129  90 
 0.221825 -0.117247  90 
 0.222941 -0.116129  90 
 0.221825 -0.115011  90 

-0.233274 -0.0860215  90 
-0.237567 -0.0903226  90 
-0.233274 -0.0946237  90 
-0.22898 -0.0903226  90 
-0.233274 -0.0860215  90 

-0.24186 -0.0602151  90 
-0.246154 -0.0645161  90 
-0.24186 -0.0688172  90 
-0.237567 -0.0645161  90 
-0.24186 -0.0602151  90 


# Contour 4, label:       60
 0.0500894 -0.239427  60 
 0.0443649 -0.245161  60 
 0.0500894 -0.250896  60 
 0.055814 -0.245161  60 
 0.0500894 -0.239427  60 

-0.147406 -0.196416  60 
-0.153131 -0.202151  60 
-0.147406 -0.207885  60 
-0.141682 -0.202151  60 
-0.147406 -0.196416  60 

 0.221825 -0.112516  60 
 0.218218 -0.116129  60 
 0.221825 -0.119742  60 
 0.225431 -0.116129  60 
 0.221825 -0.112516  60 

-0.233274 -0.0845878  60 
-0.238998 -0.0903226  60 
-0.233274 -0.0960573  60 
-0.227549 -0.0903226  60 
-0.233274 -0.0845878  60 

-0.24186 -0.0587814  60 
-0.247585 -0.0645161  60 
-0.24186 -0.0702509  60 
-0.236136 -0.0645161  60 
-0.24186 -0.0587814  60 


# Contour 5, label:       30
 0.0500894 -0.237993  30 
 0.0429338 -0.245161  30 
 0.0500894 -0.25233  30 
 0.0572451 -0.245161  30 
 0.0500894 -0.237993  30 

-0.147406 -0.194982  30 
-0.154562 -0.202151  30 
-0.147406 -0.209319  30 
-0.14025 -0.202151  30 
-0.147406 -0.194982  30 

 0.221825 -0.110022  30 
 0.215728 -0.116129  30 
 0.221825 -0.122236  30 
 0.227921 -0.116129  30 
 0.221825 -0.110022  30 

-0.233274 -0.0831541  30 
-0.240429 -0.0903226  30 
-0.233274 -0.097491  30 
-0.226118 -0.0903226  30 
-0.233274 -0.0831541  30 

-0.24186 -0.0573477  30 
-0.249016 -0.0645161  30 
-0.24186 -0.0716846  30 
-0.234705 -0.0645161  30 
-0.24186 -0.0573477  30 


# Contour 6, label:        0
-0.53381 -0.735228  0 
-0.534131 -0.735484  0 
-0.541794 -0.744086  0 
-0.542397 -0.745253  0 
-0.550105 -0.752688  0 
-0.550984 -0.755149  0 
-0.557792 -0.76129  0 
-0.559117 -0.769892  0 
-0.559571 -0.771105  0 
-0.567705 -0.778495  0 
-0.568129 -0.787097  0 
-0.559571 -0.795539  0 
-0.559439 -0.795699  0 
-0.550984 -0.804071  0 
-0.549487 -0.804301  0 
-0.542397 -0.810936  0 
-0.53381 -0.812795  0 
-0.525224 -0.809235  0 
-0.524506 -0.804301  0 
-0.516637 -0.797036  0 
-0.516135 -0.795699  0 
-0.515063 -0.787097  0 
-0.50805 -0.780653  0 
-0.50721 -0.778495  0 
-0.499463 -0.770193  0 
-0.49931 -0.769892  0 
-0.498039 -0.76129  0 
-0.499095 -0.752688  0 
-0.499463 -0.752523  0 
-0.507932 -0.744086  0 
-0.50805 -0.743973  0 
-0.516637 -0.743424  0 
-0.52496 -0.735484  0 
-0.525224 -0.734902  0 
-0.53381 -0.735228  0 

-0.24186 -0.638117  0 
-0.248738 -0.64086  0 
-0.249437 -0.649462  0 
-0.250447 -0.653994  0 
-0.255771 -0.658065  0 
-0.257823 -0.666667  0 
-0.258553 -0.675269  0 
-0.250447 -0.683802  0 
-0.250332 -0.683871  0 
-0.24186 -0.692259  0 
-0.233274 -0.692393  0 
-0.224687 -0.692426  0 
-0.222759 -0.683871  0 
-0.220684 -0.675269  0 
-0.2161 -0.671415  0 
-0.214939 -0.666667  0 
-0.213945 -0.658065  0 
