# theta_deg utheta_near_wall[m/s] speed_near_wall[m/s] omega_wall[1/s] cp_bernoulli_est_near_wall
2.1960000000e+02 4.0449590243e+00 4.0449594596e+00 4.2806880638e+05 9.5909575743e-01
2.2320000000e+02 4.2570209735e+00 4.2570212593e+00 4.4973525059e+05 9.5469442499e-01
2.2680000000e+02 4.4318649512e+00 4.4318651212e+00 4.6731339655e+05 9.5089642887e-01
2.3040000000e+02 4.5677292070e+00 4.5677292923e+00 4.8062424344e+05 9.4783962278e-01
2.3400000000e+02 4.6631099538e+00 4.6631099836e+00 4.8951927699e+05 9.4563851320e-01
2.3760000000e+02 4.7167075384e+00 4.7167075411e+00 4.9387378105e+05 9.4438167493e-01
2.4120000000e+02 4.7272462389e+00 4.7272462439e+00 4.9356512319e+05 9.4413285737e-01
2.4480000000e+02 4.6928557229e+00 4.6928557638e+00 4.8839883240e+05 9.4494276195e-01
2.4840000000e+02 4.6097781531e+00 4.6097782752e+00 4.7796355519e+05 9.4687486063e-01
2.5200000000e+02 4.4728972411e+00 4.4728975037e+00 4.6171031921e+05 9.4998296980e-01
2.5560000000e+02 4.2795389075e+00 4.2795393745e+00 4.3940647797e+05 9.5421385685e-01
2.5920000000e+02 4.0321452997e+00 4.0321460278e+00 4.1141159890e+05 9.5935449603e-01
2.6280000000e+02 3.7365716342e+00 3.7365726753e+00 3.7844256018e+05 9.6509506161e-01
2.6640000000e+02 3.3991914312e+00 3.3991928410e+00 3.4123901625e+05 9.7111372007e-01
2.7000000000e+02 3.0266909184e+00 3.0266927611e+00 3.0055757565e+05 9.7709782732e-01
2.7360000000e+02 2.6264208287e+00 2.6264231818e+00 2.5721606646e+05 9.8275475317e-01
2.7720000000e+02 2.2065464591e+00 2.2065494253e+00 2.1210879406e+05 9.8782784908e-01
2.8080000000e+02 1.7759701184e+00 1.7759738542e+00 1.6619539520e+05 9.9211479217e-01
2.8440000000e+02 1.3440415574e+00 1.3440463504e+00 1.2046685539e+05 9.9548384852e-01
2.8800000000e+02 9.2008770156e-01 9.2009421613e-01 7.5893152086e+04 9.9788356658e-01
2.9160000000e+02 5.1283305672e-01 5.1284348482e-01 3.3361068236e+04 9.9934247890e-01
2.9520000000e+02 1.2982954555e-01 1.2986482209e-01 -6.3844932804e+03 9.9995783782e-01
2.9880000000e+02 -2.2297671691e-01 2.2299364115e-01 -4.2785127204e+04 9.9987568459e-01
3.0240000000e+02 -5.4157653559e-01 5.4158206330e-01 -7.5500952485e+04 9.9926672217e-01
3.0600000000e+02 -8.2351419552e-01 8.2351696148e-01 -1.0434428713e+05 9.9830454954e-01
3.0960000000e+02 -1.0671449514e+00 1.0671464887e+00 -1.2919770953e+05 9.9715299593e-01
3.1320000000e+02 -1.2708022151e+00 1.2708030684e+00 -1.4991496155e+05 9.9596264890e-01
3.1680000000e+02 -1.4321646731e+00 1.4321651031e+00 -1.6624663451e+05 9.9487225779e-01
3.2040000000e+02 -1.5482166826e+00 1.5482168489e+00 -1.7783684438e+05 9.9400756147e-01
3.2400000000e+02 -1.6158735275e+00 1.6158735550e+00 -1.8430113383e+05 9.9347238164e-01
3.2760000000e+02 -1.6328873200e+00 1.6328873264e+00 -1.8533851425e+05 9.9333419745e-01
3.3120000000e+02 -1.5973455759e+00 1.5973456905e+00 -1.8066098007e+05 9.9362121686e-01
3.3480000000e+02 -1.5083510236e+00 1.5083513864e+00 -1.7011476638e+05 9.9431219024e-01
3.3840000000e+02 -1.3716443258e+00 1.3716450616e+00 -1.5434438926e+05 9.9529647456e-01
3.4200000000e+02 -1.1963330598e+00 1.1963342910e+00 -1.3437334477e+05 9.9642196066e-01
3.4560000000e+02 -9.9111241861e-01 9.9111432138e-01 -1.1116476299e+05 9.9754423100e-01
3.4920000000e+02 -7.6324572146e-01 7.6324863911e-01 -8.5514477239e+04 9.9854362879e-01
3.5280000000e+02 -5.1871600999e-01 5.1872080670e-01 -5.8071657653e+04 9.9932732181e-01
3.5640000000e+02 -2.6268887369e-01 2.6269901520e-01 -2.9393351712e+04 9.9982747307e-01
0.0000000000e+00 1.1697885372e-06 2.3367230452e-03 1.4009837183e-01 9.9999998635e-01
