# x y rho u v p
0.1662500000 0.0012500000 0.9999879133 0.0000143012 0.0000000000 0.9999830787
0.1687500000 0.0012500000 0.9999827888 0.0000203647 0.0000000000 0.9999759044
0.1712500000 0.0012500000 0.9999756718 0.0000287857 0.0000000000 0.9999659408
0.1737500000 0.0012500000 0.9999658666 0.0000403875 0.0000000000 0.9999522138
0.1762500000 0.0012500000 0.9999524665 0.0000562432 0.0000000000 0.9999334540
0.1787500000 0.0012500000 0.9999343020 0.0000777364 0.0000000000 0.9999080246
0.1812500000 0.0012500000 0.9999098812 0.0001066329 0.0000000000 0.9998738369
0.1837500000 0.0012500000 0.9998773207 0.0001451615 0.0000000000 0.9998282548
0.1862500000 0.0012500000 0.9998342698 0.0001961045 0.0000000000 0.9997679882
0.1887500000 0.0012500000 0.9997778278 0.0002628957 0.0000000000 0.9996889777
0.1912500000 0.0012500000 0.9997044574 0.0003497229 0.0000000000 0.9995862732
0.1937500000 0.0012500000 0.9996098966 0.0004616330 0.0000000000 0.9994539122
0.1962500000 0.0012500000 0.9994890747 0.0006046327 0.0000000000 0.9992848014
0.1987500000 0.0012500000 0.9993360348 0.0007857805 0.0000000000 0.9990706111
0.2012500000 0.0012500000 0.9991438724 0.0010132627 0.0000000000 0.9988016892
0.2037500000 0.0012500000 0.9989046923 0.0012964457 0.0000000000 0.9984670043
0.2062500000 0.0012500000 0.9986095938 0.0016458984 0.0000000000 0.9980541272
0.2087500000 0.0012500000 0.9982486878 0.0020733761 -0.0000000000 0.9975492588
0.2112500000 0.0012500000 0.9978111520 0.0025917619 -0.0000000000 0.9969373122
0.2137500000 0.0012500000 0.9972853272 0.0032149613 -0.0000000000 0.9962020531
0.2162500000 0.0012500000 0.9966588557 0.0039577475 -0.0000000000 0.9953263006
0.2187500000 0.0012500000 0.9959188603 0.0048355617 -0.0000000000 0.9942921861
0.2212500000 0.0012500000 0.9950521604 0.0058642708 -0.0000000000 0.9930814636
0.2237500000 0.0012500000 0.9940455170 0.0070598918 -0.0000000000 0.9916758625
0.2262500000 0.0012500000 0.9928858981 0.0084382941 -0.0000000000 0.9900574687
0.2287500000 0.0012500000 0.9915607529 0.0100148902 -0.0000000000 0.9882091163
0.2312500000 0.0012500000 0.9900582822 0.0118043311 0.0000000000 0.9861147758
0.2337500000 0.0012500000 0.9883676942 0.0138202180 -0.0000000000 0.9837599168
0.2362500000 0.0012500000 0.9864794318 0.0160748443 -0.0000000000 0.9811318318
0.2387500000 0.0012500000 0.9843853643 0.0185789770 -0.0000000000 0.9782199061
0.2412500000 0.0012500000 0.9820789348 0.0213416873 -0.0000000000 0.9750158228
0.2437500000 0.0012500000 0.9795552591 0.0243702330 -0.0000000000 0.9715136981
0.2462500000 0.0012500000 0.9768111748 0.0276699958 -0.0000000000 0.9677101427
0.2487500000 0.0012500000 0.9738452422 0.0312444719 -0.0000000000 0.9636042539
0.2512500000 0.0012500000 0.9706576995 0.0350953110 -0.0000000000 0.9591975414
0.2537500000 0.0012500000 0.9672503797 0.0392223980 -0.0000000000 0.9544937972
0.2562500000 0.0012500000 0.9636265946 0.0436239708 -0.0000000000 0.9494989188
0.2587500000 0.0012500000 0.9597909943 0.0482967646 -0.0000000000 0.9442206971
0.2612500000 0.0012500000 0.9557494092 0.0532361752 -0.0000000000 0.9386685806
0.2637500000 0.0012500000 0.9515086832 0.0584364342 -0.0000000000 0.9328534262
0.2662500000 0.0012500000 0.9470765030 0.0638907873 -0.0000000000 0.9267872472
0.2687500000 0.0012500000 0.9424612307 0.0695916715 -0.0000000000 0.9204829661
0.2712500000 0.0012500000 0.9376717429 0.0755308846 -0.0000000000 0.9139541789
0.2737500000 0.0012500000 0.9327172816 0.0816997446 -0.0000000000 0.9072149363
0.2762500000 0.0012500000 0.9276073174 0.0880892361 -0.0000000000 0.9002795454
0.2787500000 0.0012500000 0.9223514277 0.0946901407 -0.0000000000 0.8931623930
0.2812500000 0.0012500000 0.9169591904 0.1014931530 -0.0000000000 0.8858777929
0.2837500000 0.0012500000 0.9114400927 0.1084889797 -0.0000000000 0.8784398555
0.2862500000 0.0012500000 0.9058034553 0.1156684244 -0.0000000000 0.8708623802
0.2887500000 0.0012500000 0.9000583712 0.1230224569 -0.0000000000 0.8631587679
0.2912500000 0.0012500000 0.8942136558 0.1305422697 -0.0000000000 0.8553419532
0.2937500000 0.0012500000 0.8882778068 0.1382193224 -0.0000000000 0.8474243533
0.2962500000 0.0012500000 0.8822589785 0.1460453748 -0.0000000000 0.8394178315
0.2987500000 0.0012500000 0.8761649628 0.1540125117 -0.0000000000 0.8313336742
0.3012500000 0.0012500000 0.8700031780 0.1621131584 -0.0000000000 0.8231825785
0.3037500000 0.0012500000 0.8637806643 0.1703400903 -0.0000000000 0.8149746492
0.3062500000 0.0012500000 0.8575040836 0.1786864361 -0.0000000000 0.8067194029
0.3087500000 0.0012500000 0.8511797250 0.1871456773 -0.0000000000 0.7984257785
0.3112500000 0.0012500000 0.8448135121 0.1957116425 -0.0000000000 0.7901021519
0.3137500000 0.0012500000 0.8384110138 0.2043785004 -0.0000000000 0.7817563549
0.3162500000 0.0012500000 0.8319774571 0.2131407495 -0.0000000000 0.7733956962
0.3187500000 0.0012500000 0.8255177405 0.2219932061 -0.0000000000 0.7650269842
0.3212500000 0.0012500000 0.8190364493 0.2309309917 -0.0000000000 0.7566565511
0.3237500000 0.0012500000 0.8125378704 0.2399495194 -0.0000000000 0.7482902776
0.3262500000 0.0012500000 0.8060260084 0.2490444796 -0.0000000000 0.7399336177
0.3287500000 0.0012500000 0.7995046007 0.2582118255 -0.0000000000 0.7315916229
0.3312500000 0.0012500000 0.7929771329 0.2674477593 -0.0000000000 0.7232689666
0.3337500000 0.0012500000 0.7864468539 0.2767487181 -0.0000000000 0.7149699673
0.3362500000 0.0012500000 0.7799167903 0.2861113599 -0.0000000000 0.7066986109
0.3387500000 0.0012500000 0.7733897600 0.2955325506 -0.0000000000 0.6984585725
0.3412500000 0.0012500000 0.7668683862 0.3050093512 -0.0000000000 0.6902532367
0.3437500000 0.0012500000 0.7603551090 0.3145390056 -0.0000000000 0.6820857173
0.3462500000 0.0012500000 0.7538521984 0.3241189292 -0.0000000000 0.6739588756
0.3487500000 0.0012500000 0.7473617649 0.3337466976 -0.0000000000 0.6658753374
0.3512500000 0.0012500000 0.7408857707 0.3434200363 -0.0000000000 0.6578375098
0.3537500000 0.0012500000 0.7344260391 0.3531368110 -0.0000000000 0.6498475962
0.3562500000 0.0012500000 0.7279842645 0.3628950182 -0.0000000000 0.6419076105
0.3587500000 0.0012500000 0.7215620209 0.3726927768 -0.0000000000 0.6340193907
0.3612500000 0.0012500000 0.7151607697 0.3825283197 -0.0000000000 0.6261846109
0.3637500000 0.0012500000 0.7087818684 0.3923999861 -0.0000000000 0.6184047935
0.3662500000 0.0012500000 0.7024265766 0.4023062149 -0.0000000000 0.6106813194
0.3687500000 0.0012500000 0.6960960635 0.4122455375 0.0000000000 0.6030154384
0.3712500000 0.0012500000 0.6897914136 0.4222165718 0.0000000000 0.5954082786
0.3737500000 0.0012500000 0.6835136328 0.4322180163 0.0000000000 0.5878608548
0.3762500000 0.0012500000 0.6772636536 0.4422486450 0.0000000000 0.5803740767
0.3787500000 0.0012500000 0.6710423403 0.4523073015 0.0000000000 0.5729487566
0.3812500000 0.0012500000 0.6648504933 0.4623928952 0.0000000000 0.5655856162
0.3837500000 0.0012500000 0.6586888541 0.4725043960 0.0000000000 0.5582852930
0.3862500000 0.0012500000 0.6525581087 0.4826408307 0.0000000000 0.5510483466
0.3887500000 0.0012500000 0.6464588919 0.4928012787 0.0000000000 0.5438752642
0.3912500000 0.0012500000 0.6403917905 0.5029848681 0.0000000000 0.5367664661
