# step time[s] dt[s] max_speed[m/s] max_vorticity[1/s] max_delta_omega poisson_iters
21120 2.9839696020e-02 4.8814434687e-07 1.9815637626e+03 8.5591025790e+07 1.4196659495e+06 180
21160 2.9854874017e-02 2.4694588221e-07 5.4529726172e+03 6.3272037086e+07 2.2247999513e+06 180
21200 2.9861929873e-02 1.2760859355e-07 9.4100285477e+03 5.5083638031e+08 4.4476876305e+06 180
21240 2.9866395564e-02 1.0026984865e-07 1.1901815962e+04 1.1916173403e+09 1.8270679500e+06 180
21280 2.9869503016e-02 6.7432604988e-08 1.6200417017e+04 5.7510895918e+08 5.6310035292e+06 180
21320 2.9872164225e-02 7.2021850158e-08 1.6912588939e+04 2.3203304886e+09 1.6366439750e+07 180
21360 2.9874775752e-02 4.5808743656e-08 2.6799916661e+04 1.6316542296e+09 2.5050487148e+07 180
21400 2.9876192265e-02 2.9201574463e-08 3.7807787252e+04 4.6051973099e+09 1.3505740015e+07 180
21440 2.9877272046e-02 2.3172711470e-08 5.0913209564e+04 6.8871781989e+09 1.7983354694e+07 180
21480 2.9878110225e-02 1.9515066030e-08 5.4975677583e+04 7.2948031478e+09 2.6947872225e+07 180
21520 2.9878795323e-02 1.3838947793e-08 7.6197847305e+04 6.5455535059e+09 1.8130044506e+07 180
21560 2.9879281592e-02 1.1191290190e-08 9.7853999559e+04 3.5629686640e+09 1.7258279120e+07 180
21600 2.9879760718e-02 1.3790109454e-08 9.1656293997e+04 6.9134319675e+09 9.4066131023e+07 180
21640 2.9880356306e-02 1.0903643007e-08 1.2226055920e+05 9.4766959551e+09 8.7011284173e+07 180
21680 2.9880646579e-02 5.0342281596e-09 2.2272598081e+05 1.8586298039e+10 1.3373256818e+08 180
21720 2.9880806569e-02 2.9019357044e-09 4.3035560072e+05 3.7176895145e+10 6.8286673138e+07 180
21760 2.9880887568e-02 1.5556159978e-09 7.3336289396e+05 4.0970732089e+10 9.3911034312e+07 180
21800 2.9880944186e-02 1.3765390842e-09 8.6027662974e+05 1.0547461527e+11 4.5493121129e+08 180
21840 2.9881001032e-02 1.3938050865e-09 7.6397973583e+05 1.3017317679e+11 3.6191789617e+08 180
21880 2.9881054568e-02 1.3644267749e-09 7.9119271749e+05 4.9616249794e+10 3.9779003781e+08 180
21920 2.9881104104e-02 1.0000000000e-09 1.2039154687e+06 1.0899325802e+11 4.4654647437e+08 180
21960 2.9881144104e-02 1.0000000000e-09 1.9117188839e+06 3.1222944454e+11 2.1672286522e+09 180
22000 2.9881184104e-02 1.0000000000e-09 1.9457008975e+06 3.7304768062e+11 2.6853376013e+09 180
22040 2.9881224104e-02 1.0000000000e-09 3.9682264446e+06 5.3834968622e+11 7.5426851418e+09 180
22080 2.9881264104e-02 1.0000000000e-09 1.5922752856e+07 5.6478076541e+11 3.1283153561e+10 180
22120 2.9931251531e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22160 2.9988374305e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22200 3.0045497079e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22240 3.0102619852e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22280 3.0159742626e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22320 3.0216865400e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22360 3.0273988173e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22400 3.0331110947e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22440 3.0388233721e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22480 3.0445356494e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22520 3.0502479268e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22560 3.0559602042e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22600 3.0616724816e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22640 3.0673847589e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22680 3.0730970363e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22720 3.0788093137e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22760 3.0845215910e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22800 3.0902338684e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22840 3.0959461458e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22880 3.1016584231e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22920 3.1073707005e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
22960 3.1130829779e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23000 3.1187952552e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23040 3.1245075326e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23080 3.1302198100e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23120 3.1359320873e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23160 3.1416443647e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23200 3.1473566421e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23240 3.1530689194e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23280 3.1587811968e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23320 3.1644934742e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23360 3.1702057516e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23400 3.1759180289e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23440 3.1816303063e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23480 3.1873425837e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23520 3.1930548610e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23560 3.1987671384e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23600 3.2044794158e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23640 3.2101916931e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23680 3.2159039705e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23720 3.2216162479e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23760 3.2273285252e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23800 3.2330408026e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23840 3.2387530800e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23880 3.2444653573e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23920 3.2501776347e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
23960 3.2558899121e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24000 3.2616021894e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24040 3.2673144668e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24080 3.2730267442e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24120 3.2787390215e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24160 3.2844512989e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24200 3.2901635763e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24240 3.2958758537e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24280 3.3015881310e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24320 3.3073004084e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24360 3.3130126858e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24400 3.3187249631e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24440 3.3244372405e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24480 3.3301495179e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24520 3.3358617952e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24560 3.3415740726e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24600 3.3472863500e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24640 3.3529986273e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24680 3.3587109047e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24720 3.3644231821e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24760 3.3701354594e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24800 3.3758477368e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24840 3.3815600142e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24880 3.3872722915e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24920 3.3929845689e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
24960 3.3986968463e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25000 3.4044091237e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25040 3.4101214010e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25080 3.4158336784e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25120 3.4215459558e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25160 3.4272582331e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25200 3.4329705105e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25240 3.4386827879e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25280 3.4443950652e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25320 3.4501073426e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25360 3.4558196200e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25400 3.4615318973e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25440 3.4672441747e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25480 3.4729564521e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25520 3.4786687294e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25560 3.4843810068e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25600 3.4900932842e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25640 3.4958055615e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25680 3.5015178389e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25720 3.5072301163e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25760 3.5129423936e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25800 3.5186546710e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25840 3.5243669484e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25880 3.5300792258e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25920 3.5357915031e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
25960 3.5415037805e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26000 3.5472160579e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26040 3.5529283352e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26080 3.5586406126e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26120 3.5643528900e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26160 3.5700651673e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26200 3.5757774447e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26240 3.5814897221e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26280 3.5872019994e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26320 3.5929142768e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26360 3.5986265542e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26400 3.6043388315e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26440 3.6100511089e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26480 3.6157633863e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26520 3.6214756636e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26560 3.6271879410e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26600 3.6329002184e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26640 3.6386124958e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26680 3.6443247731e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26720 3.6500370505e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26760 3.6557493279e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26800 3.6614616052e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26840 3.6671738826e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26880 3.6728861600e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26920 3.6785984373e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
26960 3.6843107147e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27000 3.6900229921e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27040 3.6957352694e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27080 3.7014475468e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27120 3.7071598242e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27160 3.7128721015e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27200 3.7185843789e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27240 3.7242966563e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27280 3.7300089336e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27320 3.7357212110e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27360 3.7414334884e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27400 3.7471457657e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27440 3.7528580431e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27480 3.7585703205e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27520 3.7642825979e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27560 3.7699948752e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27600 3.7757071526e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27640 3.7814194300e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27680 3.7871317073e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27720 3.7928439847e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27760 3.7985562621e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27800 3.8042685394e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27840 3.8099808168e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27880 3.8156930942e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27920 3.8214053715e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
27960 3.8271176489e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28000 3.8328299263e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28040 3.8385422036e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28080 3.8442544810e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28120 3.8499667584e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28160 3.8556790357e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28200 3.8613913131e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28240 3.8671035905e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28280 3.8728158679e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28320 3.8785281452e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28360 3.8842404226e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28400 3.8899527000e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28440 3.8956649773e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28480 3.9013772547e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28520 3.9070895321e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28560 3.9128018094e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28600 3.9185140868e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28640 3.9242263642e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28680 3.9299386415e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28720 3.9356509189e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28760 3.9413631963e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28800 3.9470754736e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28840 3.9527877510e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28880 3.9585000284e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28920 3.9642123057e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
28960 3.9699245831e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29000 3.9756368605e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29040 3.9813491378e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29080 3.9870614152e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29120 3.9927736926e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29160 3.9984859700e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29200 4.0041982473e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29240 4.0099105247e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29280 4.0156228021e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29320 4.0213350794e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29360 4.0270473568e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29400 4.0327596342e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29440 4.0384719115e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29480 4.0441841889e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29520 4.0498964663e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29560 4.0556087436e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29600 4.0613210210e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29640 4.0670332984e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29680 4.0727455757e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29720 4.0784578531e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29760 4.0841701305e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29800 4.0898824078e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29840 4.0955946852e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29880 4.1013069626e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29920 4.1070192400e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
29960 4.1127315173e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30000 4.1184437947e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30040 4.1241560721e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30080 4.1298683494e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30120 4.1355806268e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30160 4.1412929042e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30200 4.1470051815e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30240 4.1527174589e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30280 4.1584297363e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30320 4.1641420136e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30360 4.1698542910e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30400 4.1755665684e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30440 4.1812788457e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30480 4.1869911231e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30520 4.1927034005e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30560 4.1984156778e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30600 4.2041279552e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30640 4.2098402326e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30680 4.2155525099e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30720 4.2212647873e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30760 4.2269770647e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30800 4.2326893421e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30840 4.2384016194e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30880 4.2441138968e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30920 4.2498261742e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
30960 4.2555384515e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
31000 4.2612507289e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
31040 4.2669630063e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
31080 4.2726752836e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
31120 4.2783875610e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
31160 4.2840998384e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
31200 4.2898121157e-02 1.4280693421e-06 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 1
