# step time[s] dt[s] max_speed[m/s] max_vorticity[1/s] max_delta_omega poisson_iters
2240 3.1988753262e-03 1.4280693421e-06 4.0177542807e+01 1.2156980944e+05 2.7562666684e+01 1
2280 3.2559980999e-03 1.4280693421e-06 4.0176045050e+01 1.2099588728e+05 2.6985211455e+01 1
2320 3.3131208736e-03 1.4280693421e-06 4.0174430606e+01 1.2044118837e+05 2.6431795998e+01 1
2360 3.3702436473e-03 1.4280693421e-06 4.0172697307e+01 1.1990485248e+05 2.5907247384e+01 1
2400 3.4273664210e-03 1.4280693421e-06 4.0170843176e+01 1.1938607052e+05 2.5410291264e+01 1
2440 3.4844891947e-03 1.4280693421e-06 4.0168866443e+01 1.1888408094e+05 2.4932987926e+01 1
2480 3.5416119683e-03 1.4280693421e-06 4.0167170070e+01 1.1840731532e+05 2.4474262894e+01 1
2520 3.5987347420e-03 1.4280693421e-06 4.0166614142e+01 1.1796646231e+05 2.4033116741e+01 1
2560 3.6558575157e-03 1.4280693421e-06 4.0166005092e+01 1.1753972762e+05 2.3608620097e+01 1
2600 3.7129802894e-03 1.4280693421e-06 4.0165341771e+01 1.1712652735e+05 2.3199907161e+01 1
2640 3.7701030631e-03 1.4280693421e-06 4.0164623088e+01 1.1672630915e+05 2.2806170237e+01 1
2680 3.8272258368e-03 1.4280693421e-06 4.0163847794e+01 1.1633876448e+05 2.2424347729e+01 1
2720 3.8843486104e-03 1.4280693421e-06 4.0163015398e+01 1.1596297832e+05 2.2060082262e+01 1
2760 3.9414713841e-03 1.4280693421e-06 4.0162124780e+01 1.1559867785e+05 2.1707224385e+01 1
2800 3.9985941578e-03 1.4280693421e-06 4.0161175136e+01 1.1524542470e+05 2.1366426547e+01 1
2840 4.0557169315e-03 1.4280693421e-06 4.0160164892e+01 1.1490246011e+05 2.1088875120e+01 1
2880 4.1128397052e-03 1.4280693421e-06 4.0159095066e+01 1.1457016107e+05 2.0727796433e+01 1
